Bulan,Tahun,Wisatawan,Jumlah
januari,2019,Wisatawan Nusantara,26505
februari,2019,Wisatawan Nusantara,26386
maret,2019,Wisatawan Nusantara,29896
april,2019,Wisatawan Nusantara,31119
mei,2019,Wisatawan Nusantara,24670
juni,2019,Wisatawan Nusantara,34551
juli,2019,Wisatawan Nusantara,37823
agustus,2019,Wisatawan Nusantara,38039
september,2019,Wisatawan Nusantara,40699
oktober,2019,Wisatawan Nusantara,60232
november,2019,Wisatawan Nusantara,67385
desember,2019,Wisatawan Nusantara,65017
januari,2019,Wisatawan Mancanegara,1236
februari,2019,Wisatawan Mancanegara,1547
maret,2019,Wisatawan Mancanegara,1508
april,2019,Wisatawan Mancanegara,1490
mei,2019,Wisatawan Mancanegara,780
juni,2019,Wisatawan Mancanegara,896
juli,2019,Wisatawan Mancanegara,1557
agustus,2019,Wisatawan Mancanegara,2333
september,2019,Wisatawan Mancanegara,1182
oktober,2019,Wisatawan Mancanegara,2970
november,2019,Wisatawan Mancanegara,3102
desember,2019,Wisatawan Mancanegara,3069
